TimeOccur,GeoX,GeoY,Type
04/11/2022 19:50:00,244113775,93787200,ASSAULT OR BATT
04/11/2022 17:00:00,247090525,95337762,THEFT BY TAKING
04/11/2022 14:51:00,246691700,94609306,ASSAULT OR BATT
04/11/2022 11:00:00,244294525,92814587,THEFT BY TAKING
04/11/2022 07:51:00,246660100,95032331,ASSAULT OR BATT
04/11/2022 02:00:00,245189175,93058238,THEFT OF MOTOR
04/11/2022 00:30:00,245926825,95557188,THEFT OF MOTOR
04/10/2022 20:00:00,244842025,95379325,THEFT OF MOTOR
04/10/2022 16:45:00,246204750,95488194,BURGLARY
04/10/2022 11:54:00,245009100,96383863,THEFT BY DECEPT
04/10/2022 11:00:00,246439850,96192712,BURGLARY
04/10/2022 07:00:00,246349225,95285963,THEFT BY TAKING
04/09/2022 20:30:00,246620525,95480312,ASSAULT OR BATT
04/09/2022 19:00:00,245873750,95226894,THEFT BY TAKING
04/09/2022 18:00:00,244223900,95189881,THEFT OF MOTOR
04/09/2022 09:00:00,246278300,95864463,THEFT OF MOTOR
04/09/2022 00:00:00,246058363,95605395,THEFT OF MOTOR
04/08/2022 22:00:00,246674600,96013288,ASSAULT OR BATT
04/08/2022 17:49:00,245880275,95614093,BURGLARY
04/08/2022 17:30:00,242766325,94067000,ASSAULT OR BATT
04/08/2022 17:00:00,246716925,95832931,ROBBERY
04/08/2022 16:00:00,246407175,94871475,THEFT BY TAKING
04/08/2022 11:00:00,244359925,95235413,THEFT OF MOTOR
04/08/2022 08:00:00,246660100,95032331,ASSAULT OR BATT
04/08/2022 06:43:00,246378500,96025031,BURGLARY
04/08/2022 04:16:00,246165050,95244900,ASSAULT OR BATT
04/08/2022 00:00:00,245872808,95616123,BURGLARY
04/07/2022 21:41:00,246731900,95754131,ASSAULT OR BATT
04/07/2022 15:15:00,246690925,95858700,ROBBERY
04/07/2022 15:13:00,246498050,94131981,BURGLARY
04/06/2022 21:30:00,246608250,95967888,THEFT BY TAKING
04/06/2022 18:49:00,246788475,94791131,ASSAULT OR BATT
04/06/2022 17:00:00,246606600,94344781,THEFT BY TAKING
